Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Unit,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
"3","'008","Albania","23012","Consumer Prices, General Indices (2015 = 100)","6125","Value","7010","October","Index","66.346120","67.504206","71.435602","73.507966","75.001287","77.469838","79.206966","82.559320","84.905967","87.039283","89.690690","92.403048","94.627792","96.212541","97.583958","99.686798","101.180119","103.069627","104.989611","106.330552","108.463868","111.084799","120.324458",
"3","'008","Albania","23012","Consumer Prices, General Indices (2015 = 100)","6125","Value","7011","November","Index","66.894687","68.784195","71.344174","73.782249","75.397474","77.652694","79.907913","82.742175","84.875491","87.404994","89.843069","92.464000","94.810647","95.724926","97.340150","99.351562","101.210595","102.917247","104.745804","106.178173","107.884825","111.267655","120.013265",
"3","'008","Albania","23012","Consumer Prices, General Indices (2015 = 100)","6125","Value","7012","December","Index","69.972757","72.441308","73.660345","76.067945","77.744121","79.328870","81.340282","83.808833","85.637390","88.837363","91.824005","93.347802","95.633498","97.401102","98.041097","99.961081","102.155349","103.983905","105.842937","107.061975","108.189585","112.212409","120.526682",
"3","'008","Albania","23014","Food price inflation","6121","Value","7001","January","%",,"2.980238","8.749609","-0.055690","4.426215","-0.727006","2.146427","4.236944","4.952077","3.957382","6.623661","4.358566","1.444154","4.444146","2.650161","2.237651","4.283221","5.815495","2.168390","4.346391","2.389434","1.178424","6.694927","13.338409"
"3","'008","Albania","23014","Food price inflation","6121","Value","7002","February","%",,"1.956129","10.410652","1.510378","5.895945","-2.659441","2.077674","4.788022","6.477093","2.818991","7.615818","6.920657","-1.192942","4.879253","2.910922","4.788753","2.162312","3.920438","2.735660","3.755090","1.901236","3.228245","6.900974","13.457383"
"3","'008","Albania","23014","Food price inflation","6121","Value","7003","March","%",,"3.903048","10.193436","1.843730","5.425518","-2.762348","2.316062","4.048407","7.619048","3.687316","6.090144","6.130046","0.024674","5.628903","2.809329","4.675795","2.242220","3.323599","3.128442","2.046992","4.562639","3.059148","9.263412","11.014613"
"3","'008","Albania","23014","Food price inflation","6121","Value","7004","April","%",,"4.123612","8.829872","3.136440","4.275386","-3.215849","3.640547","2.326870","7.680000","4.160475","4.874537","6.084644","1.076191","5.705020","1.784798","5.232446","2.009222","3.009334","3.129465","2.680146","4.323176","4.527689","9.945254","9.594098"
"3","'008","Albania","23014","Food price inflation","6121","Value","7005","May","%",,"3.420201","6.216204","3.817545","3.489476","-2.611999","4.836642","0.723226","7.026144","5.038168","8.403155","1.834368","1.943825","4.893527","2.074502","3.755808","2.300552","3.755165","2.803574","3.095669","4.868572","3.699677","11.374857","10.048709"
"3","'008","Albania","23014","Food price inflation","6121","Value","7006","June","%",,"5.440128","5.046994","3.526517","3.832533","-1.468107","3.699796","0.949460","5.980066","5.956113","3.553717","5.689590","2.718698","5.392762","2.130991","2.733020","2.689428","5.094945","3.159613","2.670686","4.057409","2.720521","12.579091","10.250487"
"3","'008","Albania","23014","Food price inflation","6121","Value","7007","July","%",,"7.601921","5.782469","3.960473","4.131390","-3.032631","4.982373","0.197047","5.723906","5.573248","4.165653","5.343335","4.065866","4.044244","2.620925","2.371075","4.339306","4.673314","2.956215","2.809365","3.091415","4.110642","13.213149",
"3","'008","Albania","23014","Food price inflation","6121","Value","7008","August","%",,"5.567093","7.391691","4.013787","3.613651","-2.470454","4.353991","4.892483","2.903226","5.485893","4.338714","4.341278","4.184816","2.808811","3.184344","4.200224","4.710938","3.304761","2.794698","2.402997","3.061615","4.559852","13.992076",
"3","'008","Albania","23014","Food price inflation","6121","Value","7009","September","%",,"4.779359","7.188317","3.686474","2.687984","-1.215430","3.948729","6.085411","2.843602","5.069124","4.293888","3.276951","4.176058","3.865641","2.102473","4.943938","3.731139","3.478355","2.639916","2.471393","3.753545","4.582227","14.005385",
"3","'008","Albania","23014","Food price inflation","6121","Value","7010","October","%",,"2.351817","7.900720","3.916328","2.738469","-0.944065","3.446195","5.458525","4.126984","4.725610","4.203335","3.919688","3.392204","3.540342","1.598470","5.514513","3.096057","4.020995","1.772804","3.000353","4.875621","3.851642","14.560835",
"3","'008","Albania","23014","Food price inflation","6121","Value","7011","November","%",,"3.812667","5.031243","4.617363","2.951795","-1.287717","4.471162","4.378719","3.955696","5.479452","3.607647","3.547880","3.402221","2.134783","2.127490","5.855269","3.156102","3.741909","2.000959","3.189415","3.893132","5.033631","14.692588",
"3","'008","Albania","23014","Food price inflation","6121","Value","7012","December","%",,"2.805538","6.227106","3.965517","0.000000","-0.497512","1.000000","7.260726","3.538462","6.835067","4.490781","1.219070","3.561093","3.480184","0.370148","5.091350","4.572220","2.828068","2.849716","2.575580","2.548746","6.357926","14.171201",
"4","'012","Algeria","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7001","January","Index","52.947178","52.305670","53.908965","52.278548","56.591265","58.374206","57.553738","59.673280","64.680240","69.503120","74.862460","77.039856","83.782421","92.555119","93.848935","99.139902","101.112182","108.044086","110.005846","111.489000","110.168888","114.518421","129.718120","147.526486"
"4","'012","Algeria","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7002","February","Index","51.746046","51.613829","54.329718","53.645995","56.433483","58.095457","57.111947","60.172924","65.753160","71.328136","75.435736","77.492166","86.648801","91.813543","92.444672","99.376576","99.192497","106.382112","107.896822","110.021624","108.438542","115.254739","130.754224","150.424422"
"4","'012","Algeria","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7003","March","Index","51.776560","52.234423","53.961560","53.067460","57.853524","58.700289","58.495172","61.182731","67.856924","72.958553","76.266723","77.776174","88.852494","92.923278","93.470257","100.249638","101.154257","108.328094","109.416792","112.004422","111.126101","119.451749","135.535028","155.789021"
"4","'012","Algeria","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7004","April","Index","50.780359","52.000371","53.172648","53.593401","58.063900","59.142080","59.988845","60.583158","67.867443","73.295155","74.620527","77.844546","90.198903","92.023919","92.150145","98.940045","102.863566","108.832997","110.652754","111.809824","111.709895","122.591617","141.388753","161.269328"
"4","'012","Algeria","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7005","May","Index","50.536586","53.385327","52.225954","54.382313","57.537959","57.311805","59.683799","59.941510","67.499284","69.550455","76.287760","78.870131","87.774315","90.582840","92.455191","99.350279","103.226465","107.612814","114.776132","113.051045","114.008258","121.776408","138.911570","159.433793"
"4","'012","Algeria","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7006","June","Index","49.815877","53.313984","51.279260","55.223818","56.749048","56.549190","59.005335","62.092609","66.110800","69.750312","76.492877","78.344190","86.775027","91.871396","95.805436","100.028743","105.919284","107.875785","117.079754","111.909753","113.824179","120.156510","140.452578","157.855970"
"4","'012","Algeria","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7007","July","Index","49.075579","52.397283","52.173360","54.960848","56.854236","55.066036","57.658926","63.044563","65.011583","71.638441","74.283925","79.369775","87.847946","91.519015","95.090156","97.509485","104.462427","104.341460","111.820343","109.174859","109.863842","121.402990","137.691387",
